rider_number,name,birthdate,weight,height,nationality,team_name,team_url,rider_url
191,Michael  Storer,1997-2-28,63.0,1.74,AU,Tudor Pro Cycling Team (PRT),team/tudor-pro-cycling-team-2025,rider/michael-storer
192,Marco  Brenner,2002-8-27,59.0,1.81,DE,Tudor Pro Cycling Team (PRT),team/tudor-pro-cycling-team-2025,rider/marco-brenner
193,Alexander  Krieger,1991-11-28,71.0,1.84,DE,Tudor Pro Cycling Team (PRT),team/tudor-pro-cycling-team-2025,rider/alexander-krieger
194,Rick  Pluimers,2000-12-7,67.0,1.8,NL,Tudor Pro Cycling Team (PRT),team/tudor-pro-cycling-team-2025,rider/rick-pluimers
195,Florian  Stork,1997-4-27,65.0,1.85,DE,Tudor Pro Cycling Team (PRT),team/tudor-pro-cycling-team-2025,rider/florian-stork
196,Yannis  Voisard,1998-7-26,56.0,,CH,Tudor Pro Cycling Team (PRT),team/tudor-pro-cycling-team-2025,rider/yannis-voisard
197,Larry  Warbasse,1990-6-28,67.0,1.83,US,Tudor Pro Cycling Team (PRT),team/tudor-pro-cycling-team-2025,rider/lawrence-warbasse
198,Maikel  Zijlaard,1999-6-1,73.0,1.89,NL,Tudor Pro Cycling Team (PRT),team/tudor-pro-cycling-team-2025,rider/maikel-zijlaard
