rider_name,rider_url,rider_number,team_name,team_url,rank,status,age,nationality,time,bonus,pcs_points,uci_points
VAN DEN BOSSCHE Fabio,rider/fabio-van-den-bossche,17,Alpecin - Deceuninck,team/alpecin-deceuninck-2025,81,DF,24,BE,3:53:25,0:00:00,0,0.0
LEMMEN Bart,rider/bart-lemmen,186,Team Visma | Lease a Bike,team/team-visma-lease-a-bike-2025,82,DF,29,NL,3:53:28,0:00:00,0,0.0
HOOLE Daan,rider/daan-hoole,112,Lidl - Trek,team/lidl-trek-2025,83,DF,26,NL,3:54:13,0:00:00,0,0.0
KRUIJSWIJK Steven,rider/steven-kruijswijk,185,Team Visma | Lease a Bike,team/team-visma-lease-a-bike-2025,84,DF,37,NL,3:54:25,0:00:00,0,0.0
GERMANI Lorenzo,rider/lorenzo-germani,75,Groupama - FDJ,team/groupama-fdj-2025,85,DF,23,IT,3:54:25,0:00:00,0,0.0
DEWULF Stan,rider/stan-dewulf,54,Decathlon AG2R La Mondiale Team,team/decathlon-ag2r-la-mondiale-2025,86,DF,27,BE,3:54:25,0:00:00,0,0.0
HONORÉ Mikkel Frølich,rider/mikkel-honore,65,EF Education - EasyPost,team/ef-education-easypost-2025,87,DF,28,DK,3:58:13,0:00:00,0,0.0
SHAW James,rider/james-shaw,67,EF Education - EasyPost,team/ef-education-easypost-2025,88,DF,28,GB,3:58:13,0:00:00,0,0.0
RAFFERTY Darren,rider/darren-rafferty,66,EF Education - EasyPost,team/ef-education-easypost-2025,89,DF,21,IE,3:58:13,0:00:00,0,0.0
BARONCINI Filippo,rider/filippo-baroncini,203,UAE Team Emirates - XRG,team/uae-team-emirates-xrg-2025,90,DF,24,IT,3:58:13,0:00:00,0,0.0
HUYS Laurens,rider/laurens-huys,24,Arkéa - B&B Hotels,team/arkea-b-b-hotels-2025,91,DF,26,BE,3:58:13,0:00:00,0,0.0
DOUBLE Paul,rider/paul-double,154,Team Jayco AlUla,team/team-jayco-alula-2025,92,DF,28,GB,3:58:13,0:00:00,0,0.0
HOWSON Damien,rider/damien-howson,134,Q36.5 Pro Cycling Team,team/q365-pro-cycing-team-2025,93,DF,32,AU,3:58:13,0:00:00,0,0.0
GAUDU David,rider/david-gaudu,71,Groupama - FDJ,team/groupama-fdj-2025,94,DF,28,FR,3:58:29,0:00:00,0,0.0
HAMILTON Chris,rider/chris-hamilton,163,Team Picnic PostNL,team/team-picnic-postnl-2025,95,DF,30,AU,3:58:42,0:00:00,0,0.0
VADER Milan,rider/milan-vader,137,Q36.5 Pro Cycling Team,team/q365-pro-cycing-team-2025,96,DF,29,NL,4:01:11,0:00:00,0,0.0
MÄRKL Niklas,rider/niklas-markl,165,Team Picnic PostNL,team/team-picnic-postnl-2025,97,DF,26,DE,4:06:32,0:00:00,0,0.0
STEINHAUSER Georg,rider/georg-steinhauser,68,EF Education - EasyPost,team/ef-education-easypost-2025,98,DF,23,DE,4:06:32,0:00:00,0,0.0
BAIS Davide,rider/davide-bais,172,Team Polti VisitMalta,team/team-polti-visitmalta-2025,99,DF,27,IT,4:06:32,0:00:00,0,0.0
MAESTRI Mirco,rider/mirco-maestri,175,Team Polti VisitMalta,team/team-polti-visitmalta-2025,100,DF,33,IT,4:06:32,0:00:00,0,0.0
PIETROBON Andrea,rider/andrea-pietrobon,177,Team Polti VisitMalta,team/team-polti-visitmalta-2025,101,DF,26,IT,4:06:32,0:00:00,0,0.0
FUGLSANG Jakob,rider/jakob-fuglsang,104,Israel - Premier Tech,team/israel-premier-tech-2025,102,DF,40,DK,4:06:32,0:00:00,0,0.0
TAROZZI Manuele,rider/manuele-tarozzi,217,VF Group - Bardiani CSF - Faizanè,team/vf-group-bardiani-csf-faizane-2025,103,DF,26,IT,4:06:32,0:00:00,0,0.0
PLOWRIGHT Jensen,rider/jensen-plowright,18,Alpecin - Deceuninck,team/alpecin-deceuninck-2025,104,DF,25,AU,4:06:32,0:00:00,0,0.0
MOSCA Jacopo,rider/jacopo-mosca,115,Lidl - Trek,team/lidl-trek-2025,105,DF,31,IT,4:06:32,0:00:00,0,0.0
AFFINI Edoardo,rider/edoardo-affini,182,Team Visma | Lease a Bike,team/team-visma-lease-a-bike-2025,106,DF,28,IT,4:06:32,0:00:00,0,0.0
DAVY Clément,rider/clement-davy,73,Groupama - FDJ,team/groupama-fdj-2025,107,DF,26,FR,4:06:32,0:00:00,0,0.0
FIORELLI Filippo,rider/filippo-fiorelli,211,VF Group - Bardiani CSF - Faizanè,team/vf-group-bardiani-csf-faizane-2025,108,DF,30,IT,4:06:32,0:00:00,0,0.0
ZANONCELLO Enrico,rider/enrico-zanoncello,218,VF Group - Bardiani CSF - Faizanè,team/vf-group-bardiani-csf-faizane-2025,109,DF,27,IT,4:06:32,0:00:00,0,0.0
ASGREEN Kasper,rider/kasper-asgreen,62,EF Education - EasyPost,team/ef-education-easypost-2025,110,DF,30,DK,4:06:32,0:00:00,0,0.0
DOULL Owain,rider/owain-doull,64,EF Education - EasyPost,team/ef-education-easypost-2025,111,DF,32,GB,4:06:32,0:00:00,0,0.0
GUGLIELMI Simon,rider/simon-guglielmi,23,Arkéa - B&B Hotels,team/arkea-b-b-hotels-2025,112,DF,27,FR,4:06:32,0:00:00,0,0.0
DEBEAUMARCHÉ Nicolas,rider/nicolas-debeaumarche,42,Cofidis,team/cofidis-2025,113,DF,27,FR,4:06:32,0:00:00,0,0.0
AZPARREN Xabier Mikel,rider/xabier-mikel-azparren-irurzun,132,Q36.5 Pro Cycling Team,team/q365-pro-cycing-team-2025,114,DF,26,ES,4:06:32,0:00:00,0,0.0
MAGLI Filippo,rider/filippo-magli2,213,VF Group - Bardiani CSF - Faizanè,team/vf-group-bardiani-csf-faizane-2025,115,DF,26,IT,4:06:32,0:00:00,0,0.0
PALENI Enzo,rider/enzo-paleni,77,Groupama - FDJ,team/groupama-fdj-2025,116,DF,22,FR,4:06:32,0:00:00,0,0.0
MAAS Jan,rider/jan-maas,44,Cofidis,team/cofidis-2025,117,DF,29,NL,4:06:32,0:00:00,0,0.0
