rider_number,name,birthdate,weight,height,nationality,team_name,team_url,rider_url
141,Mikel  Landa,1989-12-13,61.0,1.72,ES,Soudal Quick-Step (WT),team/soudal-quick-step-2025,rider/mikel-landa
142,Mattia  Cattaneo,1990-10-25,67.0,1.84,IT,Soudal Quick-Step (WT),team/soudal-quick-step-2025,rider/mattia-cattaneo
143,Josef  Černý,1993-5-11,75.0,1.88,CZ,Soudal Quick-Step (WT),team/soudal-quick-step-2025,rider/josef-cerny
144,Gianmarco  Garofoli,2002-10-6,62.0,1.8,IT,Soudal Quick-Step (WT),team/soudal-quick-step-2025,rider/gianmarco-garofoli
145,Ethan  Hayter,1998-9-18,70.0,1.8,GB,Soudal Quick-Step (WT),team/soudal-quick-step-2025,rider/ethan-hayter
146,James  Knox,1995-11-4,58.0,1.73,GB,Soudal Quick-Step (WT),team/soudal-quick-step-2025,rider/james-knox
147,Luke  Lamperti,2002-12-31,74.0,1.8,US,Soudal Quick-Step (WT),team/soudal-quick-step-2025,rider/luke-lamperti
148,Paul  Magnier,2004-4-14,70.0,1.87,FR,Soudal Quick-Step (WT),team/soudal-quick-step-2025,rider/paul-magnier
