name,age,weight,height,nationality,team_name,team_url,rider_url
Wout van Aert,,78.0,1.9,BE,Team Visma | Lease a Bike (WT),team/team-visma-lease-a-bike-2025,rider/wout-van-aert
Edoardo  Affini,,80.0,1.9,IT,Team Visma | Lease a Bike (WT),team/team-visma-lease-a-bike-2025,rider/edoardo-affini
Wilco  Kelderman,,65.0,1.85,NL,Team Visma | Lease a Bike (WT),team/team-visma-lease-a-bike-2025,rider/wilco-kelderman
Olav  Kooij,,72.0,1.84,NL,Team Visma | Lease a Bike (WT),team/team-visma-lease-a-bike-2025,rider/olav-kooij
Steven  Kruijswijk,,63.0,1.78,NL,Team Visma | Lease a Bike (WT),team/team-visma-lease-a-bike-2025,rider/steven-kruijswijk
Bart  Lemmen,,,1.8,NL,Team Visma | Lease a Bike (WT),team/team-visma-lease-a-bike-2025,rider/bart-lemmen
Dylan van Baarle,,78.0,1.89,NL,Team Visma | Lease a Bike (WT),team/team-visma-lease-a-bike-2025,rider/dylan-van-baarle
YATES Simon,,,,,Team Visma | Lease a Bike (WT),team/team-visma-lease-a-bike-2025,rider/simon-yates
