name,age,weight,height,nationality,team_name,team_url,rider_url
Davide  Piganzoli,,61.0,1.74,IT,Team Polti VisitMalta (PRT),team/team-polti-visitmalta-2025,rider/davide-piganzoli
Davide  Bais,,66.0,1.83,IT,Team Polti VisitMalta (PRT),team/team-polti-visitmalta-2025,rider/davide-bais
Mattia  Bais,,66.0,1.75,IT,Team Polti VisitMalta (PRT),team/team-polti-visitmalta-2025,rider/mattia-bais
Giovanni  Lonardi,,70.0,1.8,IT,Team Polti VisitMalta (PRT),team/team-polti-visitmalta-2025,rider/giovanni-lonardi
Mirco  Maestri,,73.0,1.85,IT,Team Polti VisitMalta (PRT),team/team-polti-visitmalta-2025,rider/mirco-maestri
Francisco  Muñoz,,71.0,1.81,ES,Team Polti VisitMalta (PRT),team/team-polti-visitmalta-2025,rider/francisco-munoz-llana
Andrea  Pietrobon,,72.0,1.9,IT,Team Polti VisitMalta (PRT),team/team-polti-visitmalta-2025,rider/andrea-pietrobon
Alessandro  Tonelli,,64.0,1.76,IT,Team Polti VisitMalta (PRT),team/team-polti-visitmalta-2025,rider/alessandro-tonelli
