rider_number,name,birthdate,weight,height,nationality,team_name,team_url,rider_url
222,Nicola  Conci,1997-1-5,68.0,1.85,IT,XDS Astana Team (WT),team/xds-astana-team-2025,rider/nicola-conci
223,Lorenzo  Fortunato,1996-5-9,57.0,1.7,IT,XDS Astana Team (WT),team/xds-astana-team-2025,rider/lorenzo-fortunato
224,Max  Kanter,1997-10-22,68.0,1.76,DE,XDS Astana Team (WT),team/xds-astana-team-2025,rider/max-kanter
225,Anton  Kuzmin,1996-11-20,66.0,1.86,KZ,XDS Astana Team (WT),team/xds-astana-team-2025,rider/anton-kuzmin
226,Fausto  Masnada,1993-11-6,65.0,1.82,IT,XDS Astana Team (WT),team/xds-astana-team-2025,rider/fausto-masnada
227,Wout  Poels,1987-10-1,66.0,1.86,NL,XDS Astana Team (WT),team/xds-astana-team-2025,rider/wout-poels
228,Christian  Scaroni,1997-10-16,63.0,1.75,IT,XDS Astana Team (WT),team/xds-astana-team-2025,rider/christian-scaroni
