name,age,weight,height,nationality,team_name,team_url,rider_url
Filippo  Fiorelli,,,,IT,VF Group - Bardiani CSF - Faizanè (PRT),team/vf-group-bardiani-csf-faizane-2025,rider/filippo-fiorelli
Luca  Covili,,58.0,1.8,IT,VF Group - Bardiani CSF - Faizanè (PRT),team/vf-group-bardiani-csf-faizane-2025,rider/luca-covili
Filippo  Magli,,,,IT,VF Group - Bardiani CSF - Faizanè (PRT),team/vf-group-bardiani-csf-faizane-2025,rider/filippo-magli2
Martin  Marcellusi,,62.0,1.72,IT,VF Group - Bardiani CSF - Faizanè (PRT),team/vf-group-bardiani-csf-faizane-2025,rider/martin-marcellusi
Alessio  Martinelli,,,1.7,IT,VF Group - Bardiani CSF - Faizanè (PRT),team/vf-group-bardiani-csf-faizane-2025,rider/alessio-martinelli
Alessandro  Pinarello,,,,IT,VF Group - Bardiani CSF - Faizanè (PRT),team/vf-group-bardiani-csf-faizane-2025,rider/alessandro-pinarello
Manuele  Tarozzi,,,,IT,VF Group - Bardiani CSF - Faizanè (PRT),team/vf-group-bardiani-csf-faizane-2025,rider/manuele-tarozzi
Enrico  Zanoncello,,64.0,1.7,IT,VF Group - Bardiani CSF - Faizanè (PRT),team/vf-group-bardiani-csf-faizane-2025,rider/enrico-zanoncello
