Rnk,Rider,Team,UCI,Pnt,Time
129,LONARDI Giovanni,Team Polti VisitMalta,,20,5:20:03
130,BYSTRØM Sven Erik,Groupama - FDJ,,20,5:23:13
131,LIEPIŅŠ Emīls,Q36.5 Pro Cycling Team,,20,5:23:42
132,ČERNÝ Josef,Soudal Quick-Step,,20,5:29:33
133,AFFINI Edoardo,Team Visma | Lease a Bike,,20,5:29:52
134,GUDMESTAD Tord,Decathlon AG2R La Mondiale Team,,20,5:30:25
135,EPIS Giosuè,Arkéa - B&B Hotels,,20,5:31:00
136,HAYTER Ethan,Soudal Quick-Step,,20,5:31:39
137,DAVY Clément,Groupama - FDJ,,20,5:32:29
138,MOZZATO Luca,Arkéa - B&B Hotels,,20,5:33:26
139,MAAS Jan,Cofidis,,20,5:34:04
140,DEBEAUMARCHÉ Nicolas,Cofidis,,20,5:34:38
141,PIETROBON Andrea,Team Polti VisitMalta,,20,5:36:27
142,GOVEKAR Matevž,Bahrain - Victorious,,20,5:38:24
143,HEPBURN Michael,Team Jayco AlUla,,20,5:38:36
144,MUÑOZ Francisco,Team Polti VisitMalta,,20,5:41:19
145,BENNETT Sam,Decathlon AG2R La Mondiale Team,,20,5:41:25
146,LAMPERTI Luke,Soudal Quick-Step,,20,5:41:38
147,KUZMIN Anton,XDS Astana Team,,20,5:42:03
148,EDMONDSON Alex,Team Picnic PostNL,,20,5:42:42
149,KOOIJ Olav,Team Visma | Lease a Bike,,20,5:45:37
150,VAN UDEN Casper,Team Picnic PostNL,,20,5:48:34
151,ZANONCELLO Enrico,VF Group - Bardiani CSF - Faizanè,,20,5:51:33
152,MOSCHETTI Matteo,Q36.5 Pro Cycling Team,,20,5:55:35
153,VAN HOECKE Gijs,Intermarché - Wanty,,20,5:55:56
154,ZIJLAARD Maikel,Tudor Pro Cycling Team,,20,5:56:04
155,VAN DER HOORN Taco,Intermarché - Wanty,,20,5:57:04
156,MÄRKL Niklas,Team Picnic PostNL,,20,5:59:46
157,THIJSSEN Gerben,Intermarché - Wanty,,20,6:04:31
158,PLOWRIGHT Jensen,Alpecin - Deceuninck,,20,6:07:50
159,KRIEGER Alexander,Tudor Pro Cycling Team,,20,6:25:03
